Code,Yield,Price,MaxPrice
RBFF11,12.82,47.65,140.87912087912088
KNUQ11,14.21,104.01,156.15384615384616
CCME11,12.24,8.65,134.5054945054945
BCIA11,12.18,83.96,133.84615384615384
RVBI11,13.68,63.07,150.32967032967034
TOPP11,12.04,68.58,132.3076923076923
ALZR11,9.36,10.42,102.85714285714285
VISC11,9.26,104.95,101.75824175824175
HGRU11,10.04,123.8,110.32967032967032
XPML11,10.56,104.21,116.04395604395606
MANA11,14.63,8.75,160.76923076923077
KNHF11,12.39,90.88,136.15384615384616
BTLG11,9.31,101.19,102.30769230769232
AJFI11,9.70,7.71,106.59340659340658
SARE11,5.03,4.66,55.27472527472528
HSML11,10.13,82.8,111.31868131868133
VRTM11,15.71,6.75,172.63736263736266
HGLG11,8.45,155.49,92.85714285714285
AZPL11,13.27,7.63,145.82417582417582
PORD11,13.80,7.86,151.64835164835165
HGRE11,10.08,114.93,110.76923076923077
HCTR11,16.36,22.18,179.78021978021977
VGIR11,14.18,9.67,155.82417582417582
PVBI11,8.34,75.03,91.64835164835165
RECR11,14.02,80.7,154.06593406593407
AFHI11,12.63,92.37,138.79120879120882
RBRL11,10.17,81.31,111.75824175824177
MCCI11,11.58,89.08,127.25274725274726
BCRI11,15.44,63.16,169.67032967032966
VCJR11,15.04,78.41,165.27472527472526
RCRB11,8.15,125.09,89.56043956043956
PMLL11,9.97,99.71,109.56043956043958
